"sender","subject","keywords","has_url","has_attachment","timestamp","label"
"info@outlook.com","Welcome to Our Service!","update notification","0","1","2024-12-07 20:31","legitimate"
"notifications@github.com","Password Reset Confirmation","update notification","0","0","2024-11-18 18:02","legitimate"
"admin@micros0ft.com","Claim Your Prize Now!","urgent security update","0","1","2024-09-18 19:54","phishing"
"john.doe@gmail.com","Welcome to Our Service!","team collaboration","0","0","2024-12-16 05:49","legitimate"
"noreply@paypa1.com","You Won $1000 - Click to Redeem","crypto bonus","1","0","2024-10-18 01:07","phishing"
"notifications@github.com","Welcome to Our Service!","welcome message","0","0","2024-05-04 14:29","legitimate"
"notifications@github.com","Password Reset Confirmation","team collaboration","1","1","2025-02-04 16:41","legitimate"
"john.doe@gmail.com","Your Monthly Statement","welcome message","1","1","2024-08-17 06:38","legitimate"
"unknown@suspicious.com","Claim Your Prize Now!","crypto bonus","1","0","2024-06-19 08:22","phishing"
"alerts@chasebankk.com","You Won $1000 - Click to Redeem","urgent security update","1","0","2024-08-02 13:38","phishing"
"admin@micros0ft.com","You Won $1000 - Click to Redeem","winner alert","1","0","2024-11-08 09:31","phishing"
"admin@micros0ft.com","Security Alert: Suspicious Login","verify immediately","0","0","2024-11-11 17:28","phishing"
"info@outlook.com","Project Update from Team","invoice details","1","0","2024-09-02 20:11","legitimate"
"john.doe@gmail.com","Meeting Reminder: 2 PM Today","meeting agenda","0","1","2024-11-17 23:46","legitimate"
"team@trello.com","Your Monthly Statement","reset instructions","0","0","2024-06-13 19:37","legitimate"
"support@linkedin.com","Your Monthly Statement","reset instructions","1","0","2024-12-04 12:45","legitimate"
"notifications@github.com","Project Update from Team","reset instructions","0","1","2024-04-29 16:59","legitimate"
"info@outlook.com","Your Monthly Statement","update notification","0","1","2024-07-12 11:57","legitimate"
"team@trello.com","Your Monthly Statement","team collaboration","0","1","2024-03-18 06:01","legitimate"
"security@bank-alert.com","Update Your Payment Info Immediately","claim now","0","0","2024-12-11 11:33","phishing"
"updates@google.com","Your Monthly Statement","reset instructions","1","1","2025-01-28 01:51","legitimate"
"alerts@chasebankk.com","Update Your Payment Info Immediately","claim now","1","1","2024-03-28 17:48","phishing"
"support@linkedin.com","Your Monthly Statement","welcome message","1","1","2025-01-28 17:42","legitimate"
"notifications@github.com","Password Reset Confirmation","team collaboration","1","0","2024-10-30 00:31","legitimate"
"admin@micros0ft.com","Security Alert: Suspicious Login","claim now","0","1","2024-03-29 21:55","phishing"
"noreply@paypa1.com","Update Your Payment Info Immediately","winner alert","1","1","2024-07-28 12:18","phishing"
"unknown@suspicious.com","Update Your Payment Info Immediately","urgent security update","1","0","2025-01-24 11:42","phishing"
"noreply@paypa1.com","You Won $1000 - Click to Redeem","verify immediately","1","1","2025-01-27 07:08","phishing"
"unknown@suspicious.com","Security Alert: Suspicious Login","urgent security update","1","1","2024-05-06 03:19","phishing"
"security@bank-alert.com","Update Your Payment Info Immediately","crypto bonus","0","1","2024-06-08 01:28","phishing"
"security@bank-alert.com","Claim Your Prize Now!","crypto bonus","1","1","2024-12-15 22:39","phishing"
"john.doe@gmail.com","Welcome to Our Service!","welcome message","1","1","2024-10-23 12:03","legitimate"
"admin@micros0ft.com","Urgent: Account Verification Required!","win free prize","1","0","2024-03-24 20:24","phishing"
"security@bank-alert.com","Security Alert: Suspicious Login","verify immediately","0","0","2024-09-01 20:48","phishing"
"notifications@github.com","Meeting Reminder: 2 PM Today","team collaboration","1","0","2024-09-11 23:20","legitimate"
"support@linkedin.com","Password Reset Confirmation","reset instructions","1","0","2025-01-26 03:43","legitimate"
"noreply@paypa1.com","Security Alert: Suspicious Login","crypto bonus","1","0","2024-05-01 12:40","phishing"
"noreply@paypa1.com","Security Alert: Suspicious Login","crypto bonus","1","0","2024-07-23 04:22","phishing"
"alerts@chasebankk.com","You Won $1000 - Click to Redeem","winner alert","1","0","2024-11-20 03:39","phishing"
"notifications@github.com","Welcome to Our Service!","invoice details","0","0","2025-03-03 21:36","legitimate"
"security@bank-alert.com","Security Alert: Suspicious Login","winner alert","1","0","2024-11-25 09:21","phishing"
"support@amaz0n-deals.com","Claim Your Prize Now!","winner alert","1","1","2024-05-31 23:19","phishing"
"unknown@suspicious.com","Urgent: Account Verification Required!","claim now","0","0","2025-02-06 03:28","phishing"
"admin@micros0ft.com","You Won $1000 - Click to Redeem","claim now","1","1","2024-03-31 11:44","phishing"
"support@amaz0n-deals.com","Update Your Payment Info Immediately","win free prize","0","0","2024-05-10 23:52","phishing"
"team@trello.com","Password Reset Confirmation","team collaboration","1","1","2024-07-17 04:44","legitimate"
"team@trello.com","Project Update from Team","invoice details","1","0","2024-04-17 19:41","legitimate"
"admin@micros0ft.com","Urgent: Account Verification Required!","win free prize","0","1","2025-01-10 10:08","phishing"
"noreply@paypa1.com","Claim Your Prize Now!","winner alert","1","0","2024-07-25 22:09","phishing"
"admin@micros0ft.com","You Won $1000 - Click to Redeem","claim now","0","0","2025-03-12 14:42","phishing"
"unknown@suspicious.com","Claim Your Prize Now!","crypto bonus","0","1","2025-02-26 18:56","phishing"
"notifications@github.com","Your Monthly Statement","team collaboration","0","0","2024-11-25 15:34","legitimate"
"notifications@github.com","Project Update from Team","update notification","1","1","2024-11-15 13:25","legitimate"
"admin@micros0ft.com","Security Alert: Suspicious Login","claim now","0","0","2024-06-02 19:00","phishing"
"unknown@suspicious.com","Urgent: Account Verification Required!","claim now","1","0","2024-12-28 16:30","phishing"
"updates@google.com","Your Monthly Statement","invoice details","1","1","2024-05-17 09:46","legitimate"
"updates@google.com","Meeting Reminder: 2 PM Today","welcome message","1","1","2024-04-10 11:35","legitimate"
"info@outlook.com","Welcome to Our Service!","team collaboration","0","1","2024-11-09 16:35","legitimate"
"admin@micros0ft.com","You Won $1000 - Click to Redeem","winner alert","0","0","2024-05-19 03:03","phishing"
"support@amaz0n-deals.com","Claim Your Prize Now!","win free prize","1","0","2024-11-21 02:35","phishing"
"alerts@chasebankk.com","Update Your Payment Info Immediately","winner alert","1","0","2024-09-06 06:58","phishing"
"notifications@github.com","Welcome to Our Service!","team collaboration","1","0","2024-10-24 08:58","legitimate"
"updates@google.com","Meeting Reminder: 2 PM Today","invoice details","1","0","2024-11-29 06:25","legitimate"
"security@bank-alert.com","Urgent: Account Verification Required!","crypto bonus","1","1","2024-07-19 03:22","phishing"
"security@bank-alert.com","You Won $1000 - Click to Redeem","verify immediately","1","1","2024-11-24 06:52","phishing"
"admin@micros0ft.com","Update Your Payment Info Immediately","winner alert","0","1","2024-11-18 07:01","phishing"
"admin@micros0ft.com","Urgent: Account Verification Required!","win free prize","0","0","2024-07-17 05:31","phishing"
"support@amaz0n-deals.com","Security Alert: Suspicious Login","urgent security update","0","1","2024-06-10 23:15","phishing"
"security@bank-alert.com","Security Alert: Suspicious Login","win free prize","0","1","2024-04-24 22:42","phishing"
"team@trello.com","Project Update from Team","meeting agenda","1","0","2024-08-22 10:23","legitimate"
"support@linkedin.com","Your Monthly Statement","invoice details","0","1","2025-02-08 06:53","legitimate"
"team@trello.com","Welcome to Our Service!","reset instructions","0","0","2024-10-06 23:03","legitimate"
"admin@micros0ft.com","Urgent: Account Verification Required!","verify immediately","0","1","2024-11-08 23:04","phishing"
"notifications@github.com","Password Reset Confirmation","reset instructions","0","1","2024-12-15 15:47","legitimate"
"support@linkedin.com","Your Monthly Statement","reset instructions","0","1","2024-12-02 20:00","legitimate"
"notifications@github.com","Project Update from Team","reset instructions","0","0","2025-03-05 14:35","legitimate"
"noreply@paypa1.com","Urgent: Account Verification Required!","win free prize","1","1","2024-11-17 15:14","phishing"
"admin@micros0ft.com","Update Your Payment Info Immediately","win free prize","0","1","2024-10-29 10:46","phishing"
"admin@micros0ft.com","Claim Your Prize Now!","claim now","1","1","2024-12-23 07:36","phishing"
"support@amaz0n-deals.com","Urgent: Account Verification Required!","win free prize","1","1","2025-02-17 14:39","phishing"
"alerts@chasebankk.com","Security Alert: Suspicious Login","verify immediately","1","1","2025-02-06 15:50","phishing"
"john.doe@gmail.com","Project Update from Team","update notification","0","1","2024-07-04 19:05","legitimate"
"info@outlook.com","Project Update from Team","welcome message","0","1","2024-08-21 10:08","legitimate"
"support@linkedin.com","Meeting Reminder: 2 PM Today","welcome message","1","0","2024-11-24 12:51","legitimate"
"info@outlook.com","Your Monthly Statement","reset instructions","1","0","2024-07-19 10:44","legitimate"
"team@trello.com","Your Monthly Statement","invoice details","1","0","2024-07-12 05:10","legitimate"
"alerts@chasebankk.com","You Won $1000 - Click to Redeem","crypto bonus","1","1","2025-01-09 17:44","phishing"
"alerts@chasebankk.com","Update Your Payment Info Immediately","win free prize","1","1","2024-08-05 02:40","phishing"
"team@trello.com","Welcome to Our Service!","invoice details","1","0","2024-09-15 07:04","legitimate"
"john.doe@gmail.com","Meeting Reminder: 2 PM Today","meeting agenda","0","0","2024-06-30 17:50","legitimate"
"support@linkedin.com","Your Monthly Statement","welcome message","0","0","2024-09-21 08:51","legitimate"
"security@bank-alert.com","Security Alert: Suspicious Login","winner alert","0","0","2024-08-24 15:22","phishing"
"support@amaz0n-deals.com","Security Alert: Suspicious Login","crypto bonus","0","0","2024-05-16 22:37","phishing"
"noreply@paypa1.com","Security Alert: Suspicious Login","winner alert","0","0","2024-07-05 22:36","phishing"
"admin@micros0ft.com","Security Alert: Suspicious Login","claim now","0","0","2024-04-27 10:11","phishing"
"info@outlook.com","Password Reset Confirmation","welcome message","1","0","2024-07-27 15:17","legitimate"
"support@amaz0n-deals.com","Security Alert: Suspicious Login","urgent security update","0","1","2024-08-23 07:07","phishing"
"support@amaz0n-deals.com","Claim Your Prize Now!","crypto bonus","0","0","2025-01-05 01:25","phishing"
"info@outlook.com","Project Update from Team","welcome message","0","0","2024-11-22 13:23","legitimate"
"team@trello.com","Project Update from Team","team collaboration","0","0","2024-06-01 10:36","legitimate"
"unknown@suspicious.com","Update Your Payment Info Immediately","crypto bonus","0","1","2024-11-09 16:57","phishing"
"admin@micros0ft.com","Update Your Payment Info Immediately","winner alert","0","0","2024-06-10 22:34","phishing"
"admin@micros0ft.com","Security Alert: Suspicious Login","urgent security update","1","1","2024-12-29 04:27","phishing"
"updates@google.com","Meeting Reminder: 2 PM Today","update notification","0","0","2024-06-30 04:40","legitimate"
"noreply@paypa1.com","Urgent: Account Verification Required!","crypto bonus","0","0","2024-08-26 08:18","phishing"
"info@outlook.com","Project Update from Team","welcome message","0","0","2024-10-21 01:17","legitimate"
"unknown@suspicious.com","You Won $1000 - Click to Redeem","win free prize","0","0","2024-08-29 01:19","phishing"
"updates@google.com","Your Monthly Statement","invoice details","1","0","2024-03-27 19:31","legitimate"
"noreply@paypa1.com","Update Your Payment Info Immediately","winner alert","1","0","2024-03-22 11:48","phishing"
"info@outlook.com","Welcome to Our Service!","update notification","1","0","2024-08-30 10:10","legitimate"
"unknown@suspicious.com","Security Alert: Suspicious Login","claim now","1","0","2024-05-15 23:14","phishing"
"support@amaz0n-deals.com","Update Your Payment Info Immediately","crypto bonus","1","1","2025-03-06 13:58","phishing"
"security@bank-alert.com","Security Alert: Suspicious Login","claim now","1","1","2024-05-13 05:55","phishing"
"unknown@suspicious.com","Update Your Payment Info Immediately","win free prize","0","0","2025-02-22 00:41","phishing"
"support@amaz0n-deals.com","Security Alert: Suspicious Login","crypto bonus","0","0","2024-05-24 13:50","phishing"
"unknown@suspicious.com","Urgent: Account Verification Required!","win free prize","0","0","2024-05-25 00:07","phishing"
"support@amaz0n-deals.com","Update Your Payment Info Immediately","verify immediately","0","0","2025-02-04 22:04","phishing"
"support@linkedin.com","Welcome to Our Service!","reset instructions","0","0","2024-07-19 23:14","legitimate"
"alerts@chasebankk.com","You Won $1000 - Click to Redeem","claim now","0","1","2024-12-17 15:14","phishing"
"support@linkedin.com","Project Update from Team","reset instructions","0","1","2024-12-26 19:36","legitimate"
"unknown@suspicious.com","You Won $1000 - Click to Redeem","winner alert","0","0","2024-10-10 23:35","phishing"
"alerts@chasebankk.com","Urgent: Account Verification Required!","crypto bonus","0","0","2024-09-07 13:31","phishing"
"support@linkedin.com","Project Update from Team","meeting agenda","0","1","2025-01-27 14:57","legitimate"
"support@amaz0n-deals.com","You Won $1000 - Click to Redeem","verify immediately","0","1","2024-03-28 23:12","phishing"
"updates@google.com","Password Reset Confirmation","update notification","1","0","2024-05-08 09:46","legitimate"
"support@amaz0n-deals.com","Security Alert: Suspicious Login","crypto bonus","1","0","2025-02-25 01:23","phishing"
"team@trello.com","Password Reset Confirmation","meeting agenda","1","1","2024-12-24 17:51","legitimate"
"alerts@chasebankk.com","Update Your Payment Info Immediately","win free prize","0","0","2025-02-28 10:20","phishing"
"alerts@chasebankk.com","Urgent: Account Verification Required!","win free prize","1","1","2024-03-24 16:53","phishing"
"john.doe@gmail.com","Your Monthly Statement","reset instructions","0","1","2024-09-03 11:53","legitimate"
"notifications@github.com","Password Reset Confirmation","update notification","1","0","2025-02-24 13:08","legitimate"
"team@trello.com","Your Monthly Statement","meeting agenda","1","0","2024-05-30 17:07","legitimate"
"notifications@github.com","Meeting Reminder: 2 PM Today","update notification","1","1","2024-03-31 20:20","legitimate"
"admin@micros0ft.com","Urgent: Account Verification Required!","urgent security update","1","0","2024-11-02 17:44","phishing"
"support@amaz0n-deals.com","Claim Your Prize Now!","win free prize","1","0","2025-01-20 15:35","phishing"
"notifications@github.com","Welcome to Our Service!","welcome message","0","0","2024-11-09 22:08","legitimate"
"notifications@github.com","Project Update from Team","reset instructions","1","0","2025-01-31 23:39","legitimate"
"support@amaz0n-deals.com","You Won $1000 - Click to Redeem","urgent security update","0","0","2024-10-24 10:50","phishing"
"noreply@paypa1.com","Update Your Payment Info Immediately","verify immediately","0","1","2024-05-14 05:11","phishing"
"updates@google.com","Password Reset Confirmation","update notification","0","0","2024-09-13 13:56","legitimate"
"unknown@suspicious.com","Update Your Payment Info Immediately","urgent security update","0","1","2024-08-09 19:00","phishing"
"team@trello.com","Meeting Reminder: 2 PM Today","welcome message","1","0","2024-10-15 09:02","legitimate"
"support@amaz0n-deals.com","Urgent: Account Verification Required!","verify immediately","0","0","2024-03-18 20:54","phishing"
"support@amaz0n-deals.com","Urgent: Account Verification Required!","urgent security update","0","1","2024-06-16 01:26","phishing"
"alerts@chasebankk.com","Claim Your Prize Now!","claim now","1","0","2024-10-23 08:58","phishing"
"security@bank-alert.com","You Won $1000 - Click to Redeem","verify immediately","1","0","2025-03-03 09:30","phishing"
"john.doe@gmail.com","Welcome to Our Service!","invoice details","0","1","2025-02-01 17:39","legitimate"
"noreply@paypa1.com","Update Your Payment Info Immediately","win free prize","1","0","2024-10-01 20:13","phishing"
"notifications@github.com","Welcome to Our Service!","welcome message","0","0","2024-08-21 08:46","legitimate"
"john.doe@gmail.com","Welcome to Our Service!","invoice details","1","0","2024-08-08 22:22","legitimate"
"unknown@suspicious.com","Claim Your Prize Now!","win free prize","1","1","2024-05-30 04:57","phishing"
"support@amaz0n-deals.com","You Won $1000 - Click to Redeem","verify immediately","0","1","2025-01-20 21:46","phishing"
"noreply@paypa1.com","Update Your Payment Info Immediately","win free prize","1","0","2024-08-26 01:26","phishing"
"unknown@suspicious.com","Urgent: Account Verification Required!","winner alert","1","1","2025-01-06 08:33","phishing"
"support@linkedin.com","Welcome to Our Service!","meeting agenda","0","1","2024-10-02 14:27","legitimate"
"updates@google.com","Meeting Reminder: 2 PM Today","team collaboration","1","0","2025-01-25 14:24","legitimate"
"support@linkedin.com","Project Update from Team","reset instructions","1","0","2024-09-10 19:42","legitimate"
"noreply@paypa1.com","Update Your Payment Info Immediately","verify immediately","0","1","2025-03-15 08:42","phishing"
"security@bank-alert.com","Claim Your Prize Now!","urgent security update","1","1","2024-05-06 16:06","phishing"
"security@bank-alert.com","You Won $1000 - Click to Redeem","urgent security update","1","0","2024-11-09 22:36","phishing"
"team@trello.com","Meeting Reminder: 2 PM Today","meeting agenda","0","0","2024-07-23 02:09","legitimate"
"notifications@github.com","Your Monthly Statement","reset instructions","1","1","2024-08-31 07:28","legitimate"
"alerts@chasebankk.com","Claim Your Prize Now!","urgent security update","0","1","2024-05-07 11:38","phishing"
"alerts@chasebankk.com","Urgent: Account Verification Required!","verify immediately","1","1","2024-03-16 04:21","phishing"
"unknown@suspicious.com","Claim Your Prize Now!","claim now","0","1","2024-09-18 23:22","phishing"
"admin@micros0ft.com","You Won $1000 - Click to Redeem","verify immediately","0","0","2024-05-12 02:16","phishing"
"notifications@github.com","Project Update from Team","welcome message","0","1","2024-07-09 20:52","legitimate"
"support@linkedin.com","Welcome to Our Service!","meeting agenda","1","0","2024-06-05 16:31","legitimate"
"notifications@github.com","Welcome to Our Service!","team collaboration","1","1","2024-11-24 07:24","legitimate"
"admin@micros0ft.com","Security Alert: Suspicious Login","urgent security update","1","0","2024-06-15 13:03","phishing"
"noreply@paypa1.com","Urgent: Account Verification Required!","win free prize","1","1","2025-01-21 02:29","phishing"
"security@bank-alert.com","Claim Your Prize Now!","urgent security update","1","0","2024-11-10 13:54","phishing"
"john.doe@gmail.com","Password Reset Confirmation","meeting agenda","0","0","2024-04-03 19:28","legitimate"
"admin@micros0ft.com","Urgent: Account Verification Required!","verify immediately","1","1","2024-09-08 15:01","phishing"
"support@amaz0n-deals.com","Security Alert: Suspicious Login","claim now","1","1","2024-05-31 07:38","phishing"
"unknown@suspicious.com","You Won $1000 - Click to Redeem","verify immediately","1","1","2024-05-20 15:12","phishing"
"support@amaz0n-deals.com","Update Your Payment Info Immediately","crypto bonus","0","1","2024-07-01 10:43","phishing"
"updates@google.com","Meeting Reminder: 2 PM Today","meeting agenda","1","0","2025-01-19 04:31","legitimate"
"alerts@chasebankk.com","Update Your Payment Info Immediately","win free prize","1","1","2024-10-03 02:09","phishing"
"support@linkedin.com","Meeting Reminder: 2 PM Today","invoice details","1","1","2024-05-26 07:58","legitimate"
"team@trello.com","Password Reset Confirmation","reset instructions","1","1","2024-03-29 02:50","legitimate"
"notifications@github.com","Password Reset Confirmation","invoice details","0","0","2024-12-13 23:51","legitimate"
"notifications@github.com","Your Monthly Statement","update notification","1","1","2024-04-16 02:06","legitimate"
"support@linkedin.com","Project Update from Team","invoice details","1","1","2024-05-26 10:49","legitimate"
"admin@micros0ft.com","Security Alert: Suspicious Login","crypto bonus","0","1","2025-01-14 15:56","phishing"
"unknown@suspicious.com","Claim Your Prize Now!","claim now","0","1","2024-05-26 16:30","phishing"
"alerts@chasebankk.com","Update Your Payment Info Immediately","crypto bonus","0","1","2024-04-04 06:24","phishing"
"security@bank-alert.com","Urgent: Account Verification Required!","verify immediately","0","0","2024-11-21 12:46","phishing"
"john.doe@gmail.com","Meeting Reminder: 2 PM Today","reset instructions","1","1","2025-01-13 19:13","legitimate"
"support@linkedin.com","Welcome to Our Service!","invoice details","0","1","2024-11-04 10:41","legitimate"
"updates@google.com","Your Monthly Statement","update notification","1","0","2024-10-06 19:23","legitimate"
"noreply@paypa1.com","Update Your Payment Info Immediately","claim now","1","0","2024-12-03 22:25","phishing"
"notifications@github.com","Password Reset Confirmation","update notification","0","0","2024-07-06 08:01","legitimate"
"updates@google.com","Your Monthly Statement","meeting agenda","1","0","2024-10-01 12:40","legitimate"
"noreply@paypa1.com","You Won $1000 - Click to Redeem","crypto bonus","0","1","2024-07-01 01:32","phishing"
"security@bank-alert.com","Claim Your Prize Now!","verify immediately","1","0","2024-10-10 12:19","phishing"
"info@outlook.com","Welcome to Our Service!","update notification","0","1","2024-07-22 05:06","legitimate"
"admin@micros0ft.com","Urgent: Account Verification Required!","winner alert","0","1","2025-02-28 00:53","phishing"
"unknown@suspicious.com","Security Alert: Suspicious Login","crypto bonus","1","0","2024-08-16 02:15","phishing"
"updates@google.com","Password Reset Confirmation","welcome message","1","0","2024-05-06 09:52","legitimate"
"info@outlook.com","Project Update from Team","invoice details","0","0","2024-10-04 23:39","legitimate"
"updates@google.com","Meeting Reminder: 2 PM Today","update notification","0","1","2024-04-26 15:44","legitimate"
"support@linkedin.com","Password Reset Confirmation","invoice details","1","1","2024-10-10 15:12","legitimate"
"team@trello.com","Password Reset Confirmation","team collaboration","1","0","2024-09-30 16:46","legitimate"
"updates@google.com","Meeting Reminder: 2 PM Today","welcome message","1","0","2024-06-14 17:25","legitimate"
"support@linkedin.com","Meeting Reminder: 2 PM Today","invoice details","0","1","2024-11-20 19:12","legitimate"
"unknown@suspicious.com","Update Your Payment Info Immediately","verify immediately","1","1","2024-08-28 10:40","phishing"
"admin@micros0ft.com","Urgent: Account Verification Required!","claim now","1","1","2024-05-12 17:43","phishing"
"alerts@chasebankk.com","Update Your Payment Info Immediately","verify immediately","1","1","2024-08-31 03:03","phishing"
"john.doe@gmail.com","Project Update from Team","update notification","1","0","2024-05-29 02:27","legitimate"
"unknown@suspicious.com","Claim Your Prize Now!","urgent security update","0","1","2025-02-14 03:31","phishing"
"updates@google.com","Your Monthly Statement","welcome message","0","0","2024-05-29 10:29","legitimate"
"john.doe@gmail.com","Project Update from Team","welcome message","1","1","2024-07-04 16:46","legitimate"
"unknown@suspicious.com","You Won $1000 - Click to Redeem","win free prize","0","1","2024-09-10 08:18","phishing"
"support@linkedin.com","Password Reset Confirmation","update notification","1","0","2024-09-28 08:07","legitimate"
"john.doe@gmail.com","Your Monthly Statement","team collaboration","0","0","2024-10-24 15:43","legitimate"
"updates@google.com","Meeting Reminder: 2 PM Today","welcome message","1","0","2024-06-25 16:41","legitimate"
"noreply@paypa1.com","Claim Your Prize Now!","win free prize","0","1","2025-02-19 01:15","phishing"
"john.doe@gmail.com","Project Update from Team","team collaboration","0","1","2024-08-15 11:37","legitimate"
"updates@google.com","Your Monthly Statement","invoice details","1","1","2024-07-26 05:05","legitimate"
"john.doe@gmail.com","Password Reset Confirmation","invoice details","1","1","2024-08-09 13:47","legitimate"
"team@trello.com","Welcome to Our Service!","update notification","0","1","2025-01-27 19:20","legitimate"
"security@bank-alert.com","Claim Your Prize Now!","crypto bonus","1","1","2024-05-26 07:01","phishing"
"admin@micros0ft.com","Urgent: Account Verification Required!","crypto bonus","1","0","2025-03-06 01:49","phishing"
"alerts@chasebankk.com","Claim Your Prize Now!","verify immediately","1","0","2024-12-19 11:03","phishing"
"security@bank-alert.com","Security Alert: Suspicious Login","verify immediately","0","1","2024-09-25 18:40","phishing"
"unknown@suspicious.com","Security Alert: Suspicious Login","win free prize","0","1","2024-06-15 23:27","phishing"
"info@outlook.com","Password Reset Confirmation","invoice details","0","1","2024-09-09 00:54","legitimate"
