subject,body,label
Team Meeting Tomorrow,"Hi Joseph,
Here’s your weekly update for 2025-02-07. Stay informed with Ramirez-Cunningham news!
Thanks,
Ramirez-Cunningham Newsletter Team",Legitimate
Your Payment Failed – Update Billing Info,"Hello Gabriel,
Your recent payment of $916 failed. Update your details: http://login.hendrix.org/1735
Avoid service disruption!
Sincerely,
Hill-Martin Billing",Phishing
Project Update: Next Steps,"Hi John,
Here’s your weekly update for 2025-02-06. Stay informed with Dean-Ramirez news!
Thanks,
Dean-Ramirez Newsletter Team",Legitimate
Team Meeting Tomorrow,"Welcome Jeffrey!
We’re excited to have you with Arnold PLC. Explore your account here: http://claim.smith-robinson.com/4902
Cheers,
Arnold PLC Onboarding",Legitimate
Project Update: Next Steps,"Hi Rebecca,
Here’s your weekly update for 2025-02-09. Stay informed with Rosales Inc news!
Thanks,
Rosales Inc Newsletter Team",Legitimate
"You’ve Won $5,000 – Claim It Here!","Dear John,
We detected unusual activity on your account. Click here to verify: http://secure.hart.com/2905
Failure to act within 24 hours will suspend your account.
Regards,
Good Inc Support",Phishing
Your Subscription Renewal,"Dear Eric,
Your Netflix subscription renews on 2025-02-11. No action needed – you’re all set!
Best,
Mccoy Ltd Team",Legitimate
Weekly Newsletter – 2025-02-10,"Hi Kimberly,
Here’s your weekly update for 2025-02-10. Stay informed with Randall Group news!
Thanks,
Randall Group Newsletter Team",Legitimate
Team Meeting Tomorrow,"Dear Matthew,
Your Netflix subscription renews on 2025-02-13. No action needed – you’re all set!
Best,
Mcdaniel PLC Team",Legitimate
Your Payment Failed – Update Billing Info,"Congratulations Adam!
You’ve won a $147 gift card! Claim it now: http://login.lee-pratt.com/2480
Hurry, offer expires soon!
Best,
Campos Group Rewards Team",Phishing
Your Payment Failed – Update Billing Info,"Dear Kevin,
We’re investigating a login attempt from an unknown device. Secure your account: http://login.thomas-solis.net/7674
Act now!
Drake Ltd Team",Phishing
Weekly Newsletter – 2025-02-08,"Hi Denise,
Here’s your weekly update for 2025-02-08. Stay informed with Jordan-Gonzalez news!
Thanks,
Jordan-Gonzalez Newsletter Team",Legitimate
Project Update: Next Steps,"Hello Ronald,
Here’s the latest on our project. Next milestone is due 2025-02-02. Let me know if you have questions!
Regards,
Vanessa Strong",Legitimate
"You’ve Won $5,000 – Claim It Here!","Dear Dana,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.miller.com/5394
Act now!
Shah, Glover and Meyers Team",Phishing
Security Alert: Suspicious Login Detected,"Dear Sharon,
We’re investigating a login attempt from an unknown device. Secure your account: http://secure.martin.net/1266
Act now!
Thompson-Serrano Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Hello Antonio,
Your recent payment of $4417 failed. Update your details: http://verify.hayes.info/9476
Avoid service disruption!
Sincerely,
Beasley, Simmons and Harrell Billing",Phishing
Project Update: Next Steps,"Hi Nicholas,
Here’s your weekly update for 2025-02-11. Stay informed with Lynch Inc news!
Thanks,
Lynch Inc Newsletter Team",Legitimate
Security Alert: Suspicious Login Detected,"Dear Christopher,
We’re investigating a login attempt from an unknown device. Secure your account: http://claim.doyle.com/8677
Act now!
Burke-Bowen Team",Phishing
Security Alert: Suspicious Login Detected,"Hello Chloe,
Your recent payment of $859 failed. Update your details: http://verify.todd.com/6729
Avoid service disruption!
Sincerely,
Fisher and Sons Billing",Phishing
Your Payment Failed – Update Billing Info,"Dear Nicole,
We detected unusual activity on your account. Click here to verify: http://claim.larson-crawford.biz/9069
Failure to act within 24 hours will suspend your account.
Regards,
Downs, Barnett and Watts Support",Phishing
Your Subscription Renewal,"Hello Randall,
Here’s the latest on our project. Next milestone is due 2025-02-08. Let me know if you have questions!
Regards,
Corey Cohen",Legitimate
Security Alert: Suspicious Login Detected,"Hello Robert,
Your recent payment of $3068 failed. Update your details: http://verify.jones.com/9083
Avoid service disruption!
Sincerely,
Ward, Mccormick and Macdonald Billing",Phishing
"You’ve Won $5,000 – Claim It Here!","Congratulations James!
You’ve won a $685 gift card! Claim it now: http://claim.frye-walters.com/4503
Hurry, offer expires soon!
Best,
Brown-Singh Rewards Team",Phishing
"Welcome to Rios, Smith and Richmond!","Hi Martin,
Just a reminder about our team meeting tomorrow at 03:55:44. Please prepare your updates.
Thanks,
Charles Sutton",Legitimate
Weekly Newsletter – 2025-02-04,"Hi Tiffany,
Here’s your weekly update for 2025-02-04. Stay informed with Harrison-Rich news!
Thanks,
Harrison-Rich Newsletter Team",Legitimate
Your Subscription Renewal,"Welcome Ruth!
We’re excited to have you with Butler PLC. Explore your account here: http://login.perez.com/1295
Cheers,
Butler PLC Onboarding",Legitimate
Your Payment Failed – Update Billing Info,"Congratulations Amanda!
You’ve won a $3631 gift card! Claim it now: http://secure.smith.com/1958
Hurry, offer expires soon!
Best,
Campbell PLC Rewards Team",Phishing
"Welcome to Stevenson, Ingram and Cooper!","Welcome Ashley!
We’re excited to have you with Stevenson, Ingram and Cooper. Explore your account here: http://login.myers.com/3600
Cheers,
Stevenson, Ingram and Cooper Onboarding",Legitimate
Your Subscription Renewal,"Hi Matthew,
Just a reminder about our team meeting tomorrow at 23:18:37. Please prepare your updates.
Thanks,
Ryan Norris",Legitimate
Welcome to Baldwin-Torres!,"Hello Kylie,
Here’s the latest on our project. Next milestone is due 2025-02-02. Let me know if you have questions!
Regards,
Bobby Mathews",Legitimate
Project Update: Next Steps,"Welcome Samuel!
We’re excited to have you with Morrow, Horn and King. Explore your account here: http://verify.pope.org/9730
Cheers,
Morrow, Horn and King Onboarding",Legitimate
Team Meeting Tomorrow,"Hello Joshua,
Here’s the latest on our project. Next milestone is due 2025-02-09. Let me know if you have questions!
Regards,
Tiffany Frazier",Legitimate
Urgent: Verify Your Account Now!,"Hi Kenneth,
Your Netflix account password has expired. Reset it here: http://secure.phelps-ramos.org/2053
This is urgent!
Thanks,
Arellano-Parker Security",Phishing
Team Meeting Tomorrow,"Hello Hayden,
Here’s the latest on our project. Next milestone is due 2025-02-21. Let me know if you have questions!
Regards,
Jimmy Lewis",Legitimate
Project Update: Next Steps,"Hi Russell,
Just a reminder about our team meeting tomorrow at 08:16:23. Please prepare your updates.
Thanks,
Jesse Hansen",Legitimate
"You’ve Won $5,000 – Claim It Here!","Hi Cory,
Your Amazon account password has expired. Reset it here: http://secure.huber.biz/6237
This is urgent!
Thanks,
Gray-Davis Security",Phishing
"You’ve Won $5,000 – Claim It Here!","Congratulations Robert!
You’ve won a $2998 gift card! Claim it now: http://claim.brown.biz/8488
Hurry, offer expires soon!
Best,
Thomas LLC Rewards Team",Phishing
Security Alert: Suspicious Login Detected,"Dear Larry,
We detected unusual activity on your account. Click here to verify: http://claim.barajas-young.com/7992
Failure to act within 24 hours will suspend your account.
Regards,
Vasquez Ltd Support",Phishing
Your Payment Failed – Update Billing Info,"Congratulations Andrea!
You’ve won a $1369 gift card! Claim it now: http://login.herrera.com/4166
Hurry, offer expires soon!
Best,
Snyder-Johnson Rewards Team",Phishing
Welcome to Hatfield-Jones!,"Dear Courtney,
Your Netflix subscription renews on 2025-02-15. No action needed – you’re all set!
Best,
Hatfield-Jones Team",Legitimate
Project Update: Next Steps,"Hello Evan,
Here’s the latest on our project. Next milestone is due 2025-02-06. Let me know if you have questions!
Regards,
Heather Greer",Legitimate
Weekly Newsletter – 2025-02-21,"Hi Mary,
Just a reminder about our team meeting tomorrow at 05:30:29. Please prepare your updates.
Thanks,
Kenneth Benson",Legitimate
Urgent: Verify Your Account Now!,"Congratulations Sophia!
You’ve won a $2838 gift card! Claim it now: http://secure.schmidt.com/7720
Hurry, offer expires soon!
Best,
Schneider Inc Rewards Team",Phishing
Urgent: Verify Your Account Now!,"Hi Andrew,
Your Netflix account password has expired. Reset it here: http://login.yates-flores.com/8897
This is urgent!
Thanks,
Miller, Mitchell and Singh Security",Phishing
Team Meeting Tomorrow,"Dear Michelle,
Your Netflix subscription renews on 2025-02-06. No action needed – you’re all set!
Best,
Martinez Group Team",Legitimate
Project Update: Next Steps,"Hi Sarah,
Here’s your weekly update for 2025-02-09. Stay informed with Lyons-Benson news!
Thanks,
Lyons-Benson Newsletter Team",Legitimate
Your Subscription Renewal,"Hi Stephanie,
Here’s your weekly update for 2025-02-21. Stay informed with Gould-Michael news!
Thanks,
Gould-Michael Newsletter Team",Legitimate
Your Payment Failed – Update Billing Info,"Congratulations Daniel!
You’ve won a $2227 gift card! Claim it now: http://verify.sanchez-tate.net/2386
Hurry, offer expires soon!
Best,
Dean-Smith Rewards Team",Phishing
Security Alert: Suspicious Login Detected,"Hi Nichole,
Your Amazon account password has expired. Reset it here: http://secure.robinson.com/2629
This is urgent!
Thanks,
Nelson, Hernandez and Jacobs Security",Phishing
Team Meeting Tomorrow,"Hello Alexander,
Here’s the latest on our project. Next milestone is due 2025-02-19. Let me know if you have questions!
Regards,
Susan Shaw",Legitimate
Password Reset Required Immediately,"Hi Natalie,
Your PayPal account password has expired. Reset it here: http://login.carson-chan.com/2366
This is urgent!
Thanks,
Bartlett and Sons Security",Phishing
Security Alert: Suspicious Login Detected,"Hello Mason,
Your recent payment of $435 failed. Update your details: http://claim.day-thomas.com/8574
Avoid service disruption!
Sincerely,
Robinson-Morgan Billing",Phishing
"You’ve Won $5,000 – Claim It Here!","Congratulations Jacob!
You’ve won a $1109 gift card! Claim it now: http://verify.walls-henson.biz/9581
Hurry, offer expires soon!
Best,
Singh-Brown Rewards Team",Phishing
Your Subscription Renewal,"Hello Karen,
Here’s the latest on our project. Next milestone is due 2025-02-04. Let me know if you have questions!
Regards,
Steven Wells",Legitimate
Project Update: Next Steps,"Hello Jonathan,
Here’s the latest on our project. Next milestone is due 2025-02-03. Let me know if you have questions!
Regards,
Dustin Phillips",Legitimate
Security Alert: Suspicious Login Detected,"Dear Renee,
We detected unusual activity on your account. Click here to verify: http://verify.ali.com/1140
Failure to act within 24 hours will suspend your account.
Regards,
Fuller-Glass Support",Phishing
Welcome to Weber-Gay!,"Hi Donna,
Just a reminder about our team meeting tomorrow at 18:02:35. Please prepare your updates.
Thanks,
Eric Gillespie",Legitimate
Team Meeting Tomorrow,"Hi Amanda,
Just a reminder about our team meeting tomorrow at 07:19:32. Please prepare your updates.
Thanks,
Joseph Brown",Legitimate
"You’ve Won $5,000 – Claim It Here!","Dear Jacob,
We’re investigating a login attempt from an unknown device. Secure your account: http://verify.larsen-berry.biz/8190
Act now!
Orr and Sons Team",Phishing
Welcome to Maynard Ltd!,"Welcome Victor!
We’re excited to have you with Maynard Ltd. Explore your account here: http://claim.cherry.com/8209
Cheers,
Maynard Ltd Onboarding",Legitimate
Your Subscription Renewal,"Hello Douglas,
Here’s the latest on our project. Next milestone is due 2025-02-19. Let me know if you have questions!
Regards,
Charlene Thomas",Legitimate
Your Payment Failed – Update Billing Info,"Hello Laura,
Your recent payment of $1239 failed. Update your details: http://claim.reese.com/5786
Avoid service disruption!
Sincerely,
Ramirez Ltd Billing",Phishing
Your Payment Failed – Update Billing Info,"Dear Megan,
We detected unusual activity on your account. Click here to verify: http://verify.moore.com/5416
Failure to act within 24 hours will suspend your account.
Regards,
Francis, Anderson and Jones Support",Phishing
Your Payment Failed – Update Billing Info,"Congratulations Joshua!
You’ve won a $4075 gift card! Claim it now: http://claim.smith-kim.com/1311
Hurry, offer expires soon!
Best,
Wilson and Sons Rewards Team",Phishing
"You’ve Won $5,000 – Claim It Here!","Dear Erica,
We’re investigating a login attempt from an unknown device. Secure your account: http://verify.cooper-johnson.com/7817
Act now!
Holloway-Davis Team",Phishing
Weekly Newsletter – 2025-02-18,"Hi Brian,
Here’s your weekly update for 2025-02-18. Stay informed with Patton LLC news!
Thanks,
Patton LLC Newsletter Team",Legitimate
Your Subscription Renewal,"Hi Christopher,
Here’s your weekly update for 2025-02-08. Stay informed with Montgomery, Page and Boyd news!
Thanks,
Montgomery, Page and Boyd Newsletter Team",Legitimate
Security Alert: Suspicious Login Detected,"Congratulations Jacob!
You’ve won a $948 gift card! Claim it now: http://verify.jackson.com/9232
Hurry, offer expires soon!
Best,
Brennan-Hurley Rewards Team",Phishing
Project Update: Next Steps,"Hello Alex,
Here’s the latest on our project. Next milestone is due 2025-02-03. Let me know if you have questions!
Regards,
Ashley West",Legitimate
"You’ve Won $5,000 – Claim It Here!","Dear Sandra,
We detected unusual activity on your account. Click here to verify: http://claim.jordan-barrera.net/7096
Failure to act within 24 hours will suspend your account.
Regards,
Cook, Herman and Adams Support",Phishing
Your Subscription Renewal,"Hi Donna,
Here’s your weekly update for 2025-02-21. Stay informed with Clark-Acosta news!
Thanks,
Clark-Acosta Newsletter Team",Legitimate
